RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
185,15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,8546.87,1
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1
228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1
341,15745844,Kerr,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1
362,15696674,Robinson,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1
414,15801559,Chiang,693,Germany,Female,41,9,181461.48,3,1,1,187929.43,1
464,15773792,Evans,662,France,Female,32,4,133950.37,1,1,1,48725.68,1
500,15677020,Selezneva,570,France,Female,58,8,0.0,1,0,1,116503.92,1
515,15682048,Pisano,605,France,Female,51,3,136188.78,1,1,1,67110.59,1
517,15752081,Vassiliev,468,France,Female,56,10,0.0,3,0,1,62256.87,1
539,15794142,Ferreira,564,Germany,Female,62,5,114931.35,3,0,1,18260.98,1
545,15802593,Little,504,France,Female,49,7,0.0,3,0,1,87822.14,1
556,15775318,Lu,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1
574,15607312,Ch'ang,648,Spain,Female,49,10,0.0,2,1,1,159835.78,1
582,15737741,McKay,607,Spain,Female,33,2,108431.87,2,0,1,109291.39,1
591,15788291,Okwuadigbo,713,Germany,Female,38,7,144606.22,1,1,1,56594.36,1
601,15683503,Hudson,601,France,Female,43,8,0.0,3,0,1,110916.15,1
698,15620204,Walker,543,Germany,Female,57,1,106138.33,2,1,1,120657.32,1
721,15721658,Fleming,672,Spain,Female,56,2,209767.31,2,1,1,150694.42,1
722,15578761,Cunningham,459,Spain,Female,42,6,129634.25,2,1,1,177683.02,1
735,15612966,Milani,545,Germany,Female,60,7,128981.07,1,0,1,176924.21,1
770,15685329,McKenzie,531,France,Female,63,1,114715.71,1,0,1,24506.95,1
824,15757811,Lloyd,732,Spain,Female,69,9,137453.43,1,0,1,110932.24,1
839,15585888,Nwokezuike,553,Spain,Female,48,3,0.0,1,0,1,30730.95,1
894,15772781,Ball,703,France,Female,51,3,0.0,3,1,1,77294.56,1
906,15675964,Chukwukadibia,672,France,Female,45,9,0.0,1,1,1,92027.69,1
948,15741336,Ejimofor,715,France,Female,38,5,118590.41,1,1,1,5684.17,1
955,15660429,Ch'in,665,Spain,Female,42,2,156371.61,2,0,1,156774.94,1
965,15580956,McNess,683,Germany,Female,43,4,115888.04,1,1,1,117349.19,1
1016,15686936,McGregor,676,France,Female,37,5,89634.69,1,1,1,169583.18,1
1067,15688963,Ingram,731,France,Female,52,10,0.0,1,1,1,24998.75,1
1097,15813168,Maslova,756,Germany,Female,39,3,100717.85,3,1,1,73406.04,1
1111,15592229,Mullan,713,France,Female,52,0,185891.54,1,1,1,46369.57,1
1130,15685309,Souter,669,France,Female,35,7,0.0,1,1,1,49108.23,1
1183,15755638,Mancini,673,France,Female,43,5,168069.73,1,1,1,146992.24,1
1188,15719302,Brennan,765,France,Female,50,9,126547.8,1,1,1,79579.94,1
1307,15709117,Fanucci,823,Spain,Female,46,3,81576.75,1,1,1,28370.95,1
