RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
169,15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
239,15794056,Johnston,668,France,Female,46,2,0.0,3,1,0,89048.46,1
246,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23,1
269,15717398,Fielding,549,Spain,Female,39,7,0.0,1,0,0,81259.25,1
294,15590241,Chuang,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1
298,15684173,Chang,687,Spain,Female,44,7,0.0,3,1,0,155853.52,1
328,15736008,Hunter,644,France,Female,46,9,95441.27,1,1,0,108761.05,1
334,15728669,Knowles,584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1
339,15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1
340,15807923,Young,716,Germany,Female,39,10,115301.31,1,1,0,43527.4,1
380,15629677,Distefano,687,Spain,Female,39,2,0.0,3,0,0,188150.6,1
400,15646372,Outhwaite,616,France,Female,66,1,135842.41,1,1,0,183840.51,1
407,15578045,Mitchell,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1
417,15720559,Heath,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1
421,15810418,T'ang,756,Germany,Female,60,3,115924.89,1,1,0,93524.19,1
434,15595039,Manna,545,Germany,Female,37,8,114754.08,1,1,0,136050.44,1
449,15694860,Uspensky,675,France,Female,38,6,68065.8,1,0,0,138777.0,1
468,15593782,Brookes,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1
494,15725679,Hsia,531,France,Female,47,6,0.0,1,0,0,194998.34,1
495,15585865,Westerberg,673,France,Female,38,2,170061.92,2,0,0,134901.34,1
521,15671256,Macartney,850,France,Female,35,1,211774.31,1,1,0,188574.12,1
529,15653849,Lu,572,Germany,Female,48,3,152827.99,1,1,0,38411.79,1
540,15762729,Ukaegbunam,745,Germany,Female,28,1,111071.36,1,1,0,73275.96,1
564,15665956,Pendergrass,509,France,Female,46,1,0.0,1,1,0,71244.59,1
567,15651674,Billson,438,Spain,Female,54,2,0.0,1,0,0,191763.07,1
585,15803689,Begum,647,Germany,Female,51,1,119741.77,2,0,0,54954.51,1
586,15718057,Onyinyechukwuka,760,France,Female,51,2,100946.71,1,0,0,179614.8,1
590,15591047,Ma,519,Spain,Female,47,6,157296.02,2,0,0,147278.43,1
599,15637476,Alexandrova,683,Germany,Female,57,5,162448.69,1,0,0,9221.78,1
616,15745295,Gether,727,Spain,Female,31,0,0.0,1,1,0,121751.04,1
618,15766575,Larionova,612,Germany,Female,62,8,140745.33,1,1,0,193437.89,1
631,15712403,McMillan,589,France,Female,61,1,0.0,1,1,0,61108.56,1
632,15811762,Pickering,583,Germany,Female,54,6,115988.86,1,1,0,57553.98,1
644,15640078,Chambers,660,Germany,Female,39,5,135134.99,1,1,0,173683.0,1
645,15698786,Marcelo,819,France,Female,39,9,133102.92,1,1,0,27046.46,1
646,15569807,Ejimofor,673,France,Female,34,8,42157.08,1,1,0,20598.59,1
688,15579334,Watkins,769,Germany,Female,45,5,126674.81,1,1,0,124118.71,1
689,15802741,Mitchel,625,France,Female,51,7,136294.97,1,1,0,38867.46,1
715,15807609,Yuan,650,Spain,Female,25,3,86605.5,3,1,0,16649.31,1
730,15612525,Preston,499,France,Female,57,1,0.0,1,0,0,131372.38,1
744,15641675,Kirillova,611,France,Female,49,2,88915.37,3,0,0,161435.02,1
762,15582741,Maclean,693,France,Female,35,5,124151.09,1,1,0,88705.14,1
763,15637876,Burns,663,Germany,Female,36,6,77253.5,1,0,0,35817.97,1
771,15584091,Pitts,742,Germany,Female,36,2,129748.54,2,0,0,47271.61,1
777,15712551,Shen,622,Germany,Female,58,7,116922.25,1,1,0,120415.61,1
806,15756026,Hooper,790,Spain,Female,46,9,0.0,1,0,0,14679.81,1
818,15806438,Chiabuotu,580,Germany,Female,42,2,123331.36,1,0,0,103516.08,1
844,15672012,Jen,773,Spain,Female,41,5,0.0,1,1,0,28266.9,1
852,15794048,Wan,667,Germany,Female,48,1,97133.92,2,0,0,113316.77,1
857,15693864,Iheanacho,567,Germany,Female,49,5,134956.02,1,1,0,93953.84,1
862,15809100,Nucci,548,France,Female,32,2,172448.77,1,1,0,188083.77,1
868,15756804,O'Loghlen,636,France,Female,48,1,170833.46,1,1,0,110510.28,1
872,15692750,McGregor,629,Germany,Female,45,7,129818.39,3,1,0,9217.55,1
881,15585362,Simmons,749,France,Female,60,6,0.0,1,1,0,17978.68,1
882,15571928,Fraser,679,France,Female,43,4,0.0,3,1,0,115136.51,1
884,15743007,Seabrook,643,France,Female,45,4,45144.43,1,1,0,60917.24,1
895,15669987,Sung,728,Germany,Female,35,8,125884.95,2,1,0,54359.02,1
899,15654700,Fallaci,523,France,Female,40,2,102967.41,1,1,0,128702.1,1
908,15724848,Oluchukwu,516,France,Female,46,1,104947.72,1,1,0,115789.25,1
943,15804586,Lin,376,France,Female,46,6,0.0,1,1,0,157333.69,1
947,15745324,Milani,599,Spain,Female,39,4,0.0,1,1,0,194273.2,1
950,15620981,Wickham,684,France,Female,48,3,73309.38,1,0,0,21228.34,1
977,15570060,Palerma,586,France,Female,43,8,132558.26,1,1,0,67046.83,1
984,15807008,McGregor,614,Germany,Female,35,6,128100.28,1,0,0,69454.24,1
990,15681206,Hsing,722,France,Female,49,3,168197.66,1,1,0,140765.57,1
1004,15701301,Murphy,646,France,Female,42,3,175159.9,2,0,0,67124.48,1
1019,15602010,Zikoranaudodimma,850,Germany,Female,45,5,103909.86,1,1,0,60083.11,1
1043,15593969,Abramovich,630,Spain,Female,39,7,135483.17,1,1,0,140881.2,1
1047,15644200,Hamilton,807,Spain,Female,42,1,0.0,1,1,0,16500.66,1
1048,15793949,Cheng,726,France,Female,48,4,0.0,1,1,0,114020.06,1
1058,15706534,Enyinnaya,581,France,Female,47,1,122949.14,1,0,0,180251.68,1
1071,15648075,Hebert,686,Germany,Female,47,5,170935.94,1,1,0,173179.79,1
1108,15660316,Stephenson,420,Germany,Female,34,1,135549.9,1,0,0,149471.13,1
1114,15648800,Paterson,731,Germany,Female,21,8,132312.06,1,1,0,106663.46,1
1115,15626147,Maclean,608,France,Female,62,8,144976.5,1,0,0,175836.03,1
1118,15592583,Colman,731,France,Female,47,1,115414.19,3,0,0,191734.67,1
1141,15566251,Ferrari,618,France,Female,37,5,96652.86,1,1,0,98686.4,1
1154,15669899,Fitts,755,Germany,Female,45,7,135643.0,1,0,0,143619.52,1
1159,15690007,Ts'ui,434,Germany,Female,58,9,125801.03,2,1,0,60891.8,1
1175,15588670,Despeissis,705,Spain,Female,40,5,203715.15,1,1,0,179978.68,1
1193,15589572,Otutodilichukwu,785,Spain,Female,61,4,129855.72,2,1,0,170214.82,1
1194,15779947,Thomas,363,Spain,Female,28,6,146098.43,3,1,0,100615.14,1
1216,15625080,Parkin,745,Spain,Female,54,8,0.0,1,1,0,173912.29,1
1219,15730038,Docherty,706,France,Female,23,5,0.0,1,0,0,164128.41,1
1246,15658052,Cameron,626,France,Female,44,10,81553.93,1,1,0,20063.63,1
1252,15814930,McGregor,588,Germany,Female,40,10,125534.51,1,1,0,121504.18,1
1255,15610383,Dumetolisa,628,France,Female,46,1,46870.43,4,1,0,31272.14,1
1266,15662291,Davidson,534,France,Female,55,8,116973.26,3,1,0,122066.5,1
1304,15683930,Ch'iu,593,Germany,Female,32,9,134096.53,2,1,0,53931.05,1
1330,15645572,Calabresi,743,France,Female,40,6,0.0,1,1,0,28280.8,1
