RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0
131,15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
155,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,109041.53,0
158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
164,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0
177,15645248,Ho,510,France,Female,30,0,0.0,2,1,1,130553.47,0
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
188,15708710,Ford,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0
197,15635905,Moran,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0
214,15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0
221,15725311,Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57,0
227,15774393,Ch'ien,694,France,Female,30,9,0.0,2,1,1,26960.31,0
233,15787174,Sergeyev,512,France,Female,37,1,0.0,2,0,1,156105.03,0
235,15704769,Smith,585,France,Female,67,5,113978.97,2,0,1,93146.11,0
237,15711540,Pacheco,712,France,Female,29,2,0.0,1,1,1,144375.0,0
248,15599792,Dimauro,545,France,Female,26,1,0.0,2,1,1,199638.56,0
252,15753754,Morrison,587,Spain,Female,34,1,0.0,2,1,1,97932.68,0
253,15793726,Matveyeva,681,France,Female,79,0,0.0,2,0,1,170968.99,0
