RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0
118,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0
123,15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0
125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,0
129,15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,0
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0
157,15655007,Li,758,France,Female,33,7,0.0,2,0,0,82996.47,0
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0
192,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0
213,15573152,Glassman,620,France,Female,41,9,0.0,2,0,0,88852.47,0
218,15786308,Millar,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0
230,15605461,Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0
242,15651001,Tsao,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0
251,15628112,Hughes,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0
