RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0
118,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1
123,15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0
125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,0
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1
129,15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,0
131,15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1
155,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,109041.53,0
157,15655007,Li,758,France,Female,33,7,0.0,2,0,0,82996.47,0
158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0
164,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0
169,15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0
177,15645248,Ho,510,France,Female,30,0,0.0,2,1,1,130553.47,0
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0
185,15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,8546.87,1
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0
188,15708710,Ford,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1
192,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0
197,15635905,Moran,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
213,15573152,Glassman,620,France,Female,41,9,0.0,2,0,0,88852.47,0
214,15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0
218,15786308,Millar,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0
221,15725311,Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57,0
227,15774393,Ch'ien,694,France,Female,30,9,0.0,2,1,1,26960.31,0
228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1
230,15605461,Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0
233,15787174,Sergeyev,512,France,Female,37,1,0.0,2,0,1,156105.03,0
235,15704769,Smith,585,France,Female,67,5,113978.97,2,0,1,93146.11,0
237,15711540,Pacheco,712,France,Female,29,2,0.0,1,1,1,144375.0,0
238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
