RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1
185,15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,8546.87,1
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1
209,15684181,Hackett,643,France,Male,45,5,0.0,1,1,0,142513.5,1
219,15659366,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1
220,15774854,Fuller,592,France,Male,54,8,0.0,1,1,1,28737.71,1
224,15733247,Stevenson,850,France,Male,33,10,0.0,1,1,0,4861.72,1
239,15794056,Johnston,668,France,Female,46,2,0.0,3,1,0,89048.46,1
246,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23,1
277,15694456,Toscani,756,France,Male,62,3,0.0,1,1,1,11199.04,1
280,15782210,K'ung,714,France,Male,46,1,0.0,1,1,0,152167.79,1
307,15594898,Hewitt,731,France,Male,43,2,0.0,1,1,1,170034.95,1
309,15773972,Balashov,614,France,Male,50,4,137104.47,1,1,0,127166.49,1
317,15662736,Doyle,559,France,Male,49,2,147069.78,1,1,0,120540.83,1
323,15694408,Lung,749,France,Male,40,1,139290.41,1,1,0,182855.42,1
328,15736008,Hunter,644,France,Female,46,9,95441.27,1,1,0,108761.05,1
336,15697441,Hsueh,485,France,Male,29,7,182123.79,1,1,0,116828.51,1
400,15646372,Outhwaite,616,France,Female,66,1,135842.41,1,1,0,183840.51,1
449,15694860,Uspensky,675,France,Female,38,6,68065.8,1,0,0,138777.0,1
464,15773792,Evans,662,France,Female,32,4,133950.37,1,1,1,48725.68,1
472,15683625,Hare,703,France,Male,37,1,149762.08,1,1,0,20629.4,1
488,15613772,Dalrymple,542,France,Male,39,3,135096.77,1,1,1,14353.43,1
494,15725679,Hsia,531,France,Female,47,6,0.0,1,0,0,194998.34,1
495,15585865,Westerberg,673,France,Female,38,2,170061.92,2,0,0,134901.34,1
500,15677020,Selezneva,570,France,Female,58,8,0.0,1,0,1,116503.92,1
503,15714485,Udinese,774,France,Male,60,5,85891.55,1,1,0,74135.48,1
515,15682048,Pisano,605,France,Female,51,3,136188.78,1,1,1,67110.59,1
517,15752081,Vassiliev,468,France,Female,56,10,0.0,3,0,1,62256.87,1
519,15775912,Mazzanti,698,France,Male,48,4,101238.24,2,0,1,177815.87,1
521,15671256,Macartney,850,France,Female,35,1,211774.31,1,1,0,188574.12,1
536,15776780,He,608,France,Male,59,1,0.0,1,1,0,70649.64,1
545,15802593,Little,504,France,Female,49,7,0.0,3,0,1,87822.14,1
564,15665956,Pendergrass,509,France,Female,46,1,0.0,1,1,0,71244.59,1
572,15730076,Osborne,651,France,Male,45,1,0.0,1,1,0,67740.08,1
586,15718057,Onyinyechukwuka,760,France,Female,51,2,100946.71,1,0,0,179614.8,1
601,15683503,Hudson,601,France,Female,43,8,0.0,3,0,1,110916.15,1
604,15592387,Burke,566,France,Male,30,5,0.0,1,1,0,54926.51,1
631,15712403,McMillan,589,France,Female,61,1,0.0,1,1,0,61108.56,1
635,15738181,Douglas,850,France,Male,31,6,67996.23,2,0,0,50129.87,1
645,15698786,Marcelo,819,France,Female,39,9,133102.92,1,1,0,27046.46,1
646,15569807,Ejimofor,673,France,Female,34,8,42157.08,1,1,0,20598.59,1
689,15802741,Mitchel,625,France,Female,51,7,136294.97,1,1,0,38867.46,1
730,15612525,Preston,499,France,Female,57,1,0.0,1,0,0,131372.38,1
744,15641675,Kirillova,611,France,Female,49,2,88915.37,3,0,0,161435.02,1
762,15582741,Maclean,693,France,Female,35,5,124151.09,1,1,0,88705.14,1
770,15685329,McKenzie,531,France,Female,63,1,114715.71,1,0,1,24506.95,1
860,15809087,Landry,598,France,Male,64,1,0.0,2,1,0,195635.3,1
861,15807663,McGregor,667,France,Male,43,8,190227.46,1,1,0,97508.04,1
862,15809100,Nucci,548,France,Female,32,2,172448.77,1,1,0,188083.77,1
868,15756804,O'Loghlen,636,France,Female,48,1,170833.46,1,1,0,110510.28,1
881,15585362,Simmons,749,France,Female,60,6,0.0,1,1,0,17978.68,1
882,15571928,Fraser,679,France,Female,43,4,0.0,3,1,0,115136.51,1
884,15743007,Seabrook,643,France,Female,45,4,45144.43,1,1,0,60917.24,1
894,15772781,Ball,703,France,Female,51,3,0.0,3,1,1,77294.56,1
899,15654700,Fallaci,523,France,Female,40,2,102967.41,1,1,0,128702.1,1
905,15794580,Ch'en,599,France,Male,58,4,0.0,1,0,0,176407.15,1
906,15675964,Chukwukadibia,672,France,Female,45,9,0.0,1,1,1,92027.69,1
908,15724848,Oluchukwu,516,France,Female,46,1,104947.72,1,1,0,115789.25,1
917,15792328,James,475,France,Male,39,6,0.0,1,1,1,56999.9,1
923,15753337,Yeates,555,France,Male,51,5,0.0,3,1,0,189122.89,1
937,15613630,Tang,775,France,Male,52,8,109922.61,1,1,1,96823.32,1
943,15804586,Lin,376,France,Female,46,6,0.0,1,1,0,157333.69,1
948,15741336,Ejimofor,715,France,Female,38,5,118590.41,1,1,1,5684.17,1
950,15620981,Wickham,684,France,Female,48,3,73309.38,1,0,0,21228.34,1
977,15570060,Palerma,586,France,Female,43,8,132558.26,1,1,0,67046.83,1
990,15681206,Hsing,722,France,Female,49,3,168197.66,1,1,0,140765.57,1
1004,15701301,Murphy,646,France,Female,42,3,175159.9,2,0,0,67124.48,1
1009,15569050,Farrell,444,France,Male,45,6,0.0,1,1,0,130009.85,1
1011,15799811,Herrera,724,France,Male,40,10,0.0,1,1,0,127847.25,1
1016,15686936,McGregor,676,France,Female,37,5,89634.69,1,1,1,169583.18,1
1021,15654673,Onyinyechukwuka,625,France,Male,49,6,173434.9,1,1,0,165580.93,1
1048,15793949,Cheng,726,France,Female,48,4,0.0,1,1,0,114020.06,1
1058,15706534,Enyinnaya,581,France,Female,47,1,122949.14,1,0,0,180251.68,1
1066,15692744,Davison,512,France,Male,36,4,152169.12,2,0,0,38629.3,1
1067,15688963,Ingram,731,France,Female,52,10,0.0,1,1,1,24998.75,1
1069,15680303,Gibson,594,France,Male,57,6,0.0,1,1,0,19376.56,1
1070,15628674,Iadanza,844,France,Male,40,7,113348.14,1,1,0,31904.31,1
1086,15646513,Spyer,803,France,Male,42,5,0.0,1,1,0,196466.83,1
1087,15708063,Walker,712,France,Male,36,2,100749.5,3,0,0,70758.37,1
1093,15585198,Bergamaschi,715,France,Male,41,4,94267.9,1,0,1,152821.12,1
1096,15689081,Wu,692,France,Male,29,4,0.0,1,1,0,76755.99,1
1111,15592229,Mullan,713,France,Female,52,0,185891.54,1,1,1,46369.57,1
1115,15626147,Maclean,608,France,Female,62,8,144976.5,1,0,0,175836.03,1
1118,15592583,Colman,731,France,Female,47,1,115414.19,3,0,0,191734.67,1
1130,15685309,Souter,669,France,Female,35,7,0.0,1,1,1,49108.23,1
1141,15566251,Ferrari,618,France,Female,37,5,96652.86,1,1,0,98686.4,1
1161,15719348,Tsao,513,France,Male,35,8,0.0,1,1,0,76640.29,1
1162,15781802,Abramov,755,France,Male,41,6,104817.41,1,1,0,126013.58,1
1179,15782454,Hancock,552,France,Male,49,4,0.0,1,1,1,190296.76,1
1183,15755638,Mancini,673,France,Female,43,5,168069.73,1,1,1,146992.24,1
1188,15719302,Brennan,765,France,Female,50,9,126547.8,1,1,1,79579.94,1
1190,15791279,Murray,701,France,Male,40,5,169742.64,1,1,1,153537.55,1
1211,15658969,Gray,711,France,Male,51,7,0.0,3,1,0,38409.79,1
1219,15730038,Docherty,706,France,Female,23,5,0.0,1,0,0,164128.41,1
1246,15658052,Cameron,626,France,Female,44,10,81553.93,1,1,0,20063.63,1
1255,15610383,Dumetolisa,628,France,Female,46,1,46870.43,4,1,0,31272.14,1
1266,15662291,Davidson,534,France,Female,55,8,116973.26,3,1,0,122066.5,1
1274,15612064,Tsou,474,France,Male,33,5,0.0,2,1,0,181945.52,1
1313,15596181,Kwemto,542,France,Male,38,8,65942.26,1,1,1,68093.23,1
1315,15644833,Duncan,675,France,Male,54,2,0.0,1,1,0,149583.67,1
1318,15720702,Shih,789,France,Male,37,3,0.0,1,1,0,121883.87,1
1319,15665077,Vogel,598,France,Female,43,5,0.0,3,1,1,100722.72,1
1330,15645572,Calabresi,743,France,Female,40,6,0.0,1,1,0,28280.8,1
1342,15609824,Fedorov,794,France,Female,41,7,176845.41,3,1,0,166526.26,1
1352,15635435,White,648,France,Female,54,9,120633.42,1,0,0,5924.38,1
1366,15689514,Kang,625,France,Male,43,8,201696.07,1,1,0,133020.9,1
1377,15587233,Donoghue,457,France,Male,41,8,73700.12,3,1,1,185750.02,1
1382,15714466,Baxter,846,France,Female,41,5,0.0,3,1,0,3440.47,1
1389,15775295,McIntyre,630,France,Female,40,0,118633.08,1,0,1,60032.46,1
1390,15684196,Aitken,627,France,Female,55,2,159441.27,1,1,0,100686.11,1
1399,15628947,Praed,693,France,Female,38,3,0.0,2,0,0,78133.48,1
1406,15612494,Panicucci,359,France,Female,44,6,128747.69,1,1,0,146955.71,1
1411,15710164,P'eng,523,France,Female,73,7,0.0,2,0,0,130883.9,1
1444,15598751,Ingram,556,France,Female,43,6,0.0,3,0,0,125154.57,1
1453,15774882,Mazzanti,687,France,Female,35,3,99587.43,1,1,1,1713.1,1
