RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1
203,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1
220,15774854,Fuller,592,France,Male,54,8,0.0,1,1,1,28737.71,1
225,15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
244,15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1
277,15694456,Toscani,756,France,Male,62,3,0.0,1,1,1,11199.04,1
283,15643024,Huang,479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1
307,15594898,Hewitt,731,France,Male,43,2,0.0,1,1,1,170034.95,1
377,15583456,Gardiner,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1
431,15597602,Nwachinemelu,619,Germany,Male,57,3,137946.39,1,1,1,72467.99,1
459,15707362,Yin,514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1
488,15613772,Dalrymple,542,France,Male,39,3,135096.77,1,1,1,14353.43,1
519,15775912,Mazzanti,698,France,Male,48,4,101238.24,2,0,1,177815.87,1
552,15657284,Day,674,Germany,Male,47,6,106901.94,1,1,1,2079.2,1
654,15664610,Campbell,459,Germany,Male,48,4,133994.52,1,1,1,19287.06,1
678,15715142,Repina,739,Germany,Male,45,7,102703.62,1,0,1,147802.94,1
697,15727299,Edgar,445,Spain,Male,62,1,64119.38,1,1,1,76569.64,1
765,15672056,Kenenna,710,Germany,Male,43,2,140080.32,3,1,1,157908.19,1
785,15571221,Bergamaschi,747,Germany,Male,58,7,116313.57,1,1,1,190696.35,1
814,15775306,Ni,421,Germany,Male,28,8,122384.22,3,1,1,89017.38,1
917,15792328,James,475,France,Male,39,6,0.0,1,1,1,56999.9,1
934,15737795,Scott,512,Spain,Male,36,1,0.0,1,0,1,135482.26,1
937,15613630,Tang,775,France,Male,52,8,109922.61,1,1,1,96823.32,1
1093,15585198,Bergamaschi,715,France,Male,41,4,94267.9,1,0,1,152821.12,1
1112,15798424,Glover,833,Germany,Male,59,1,130854.59,1,1,1,30722.52,1
1124,15596800,Hill,779,Germany,Male,33,1,158456.76,1,1,1,197000.92,1
1145,15694821,Hardy,765,Germany,Male,43,4,148962.76,1,0,1,173878.87,1
1179,15782454,Hancock,552,France,Male,49,4,0.0,1,1,1,190296.76,1
1190,15791279,Murray,701,France,Male,40,5,169742.64,1,1,1,153537.55,1
1220,15812272,Ugonna,693,Germany,Male,44,5,124601.58,2,1,1,46998.13,1
1313,15596181,Kwemto,542,France,Male,38,8,65942.26,1,1,1,68093.23,1
1341,15645511,Chukwudi,727,Spain,Male,43,2,97403.18,1,1,1,107415.02,1
1353,15596552,Stephens,535,Germany,Male,48,5,134542.73,1,1,1,58203.67,1
1355,15683403,Lombardi,611,Spain,Male,52,7,0.0,1,0,1,73585.18,1
1368,15627232,Jibunoh,608,Germany,Male,44,7,114203.47,1,1,1,77830.36,1
1370,15722902,Chizuoke,652,Germany,Male,50,8,125437.64,1,1,1,17160.94,1
1377,15587233,Donoghue,457,France,Male,41,8,73700.12,3,1,1,185750.02,1
1448,15697311,Nebechukwu,697,Spain,Male,56,5,110802.03,1,1,1,50230.31,1
1501,15590146,Mao,630,France,Male,50,1,81947.76,1,0,1,63606.22,1
1521,15786800,Gould,723,Germany,Male,52,5,131694.97,1,0,1,92873.5,1
1558,15706815,Samoylova,515,Germany,Male,37,2,90432.92,1,1,1,188366.04,1
