RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1
156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
209,15684181,Hackett,643,France,Male,45,5,0.0,1,1,0,142513.5,1
219,15659366,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1
224,15733247,Stevenson,850,France,Male,33,10,0.0,1,1,0,4861.72,1
229,15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1
236,15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1
250,15772423,Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1
272,15619955,Bevington,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1
280,15782210,K'ung,714,France,Male,46,1,0.0,1,1,0,152167.79,1
309,15773972,Balashov,614,France,Male,50,4,137104.47,1,1,0,127166.49,1
317,15662736,Doyle,559,France,Male,49,2,147069.78,1,1,0,120540.83,1
323,15694408,Lung,749,France,Male,40,1,139290.41,1,1,0,182855.42,1
336,15697441,Hsueh,485,France,Male,29,7,182123.79,1,1,0,116828.51,1
358,15661629,Ricci,522,Spain,Male,34,9,126436.29,1,1,0,174248.52,1
393,15573456,Cunningham,648,Spain,Male,46,9,127209.0,2,1,0,77405.95,1
394,15684548,Demidov,556,Spain,Male,38,8,0.0,2,0,0,417.41,1
423,15674551,Fitch,535,Germany,Male,40,7,111756.5,1,1,0,8128.32,1
430,15806467,Boyle,568,Germany,Male,40,1,99282.63,1,0,0,134600.94,1
445,15787470,Parkinson,553,Spain,Male,47,3,116528.15,1,0,0,145704.19,1
472,15683625,Hare,703,France,Male,37,1,149762.08,1,1,0,20629.4,1
476,15591986,Johnston,621,Germany,Male,46,6,141078.37,1,0,0,34580.8,1
485,15676519,George,615,Spain,Male,61,9,0.0,2,1,0,150227.85,1
503,15714485,Udinese,774,France,Male,60,5,85891.55,1,1,0,74135.48,1
536,15776780,He,608,France,Male,59,1,0.0,1,1,0,70649.64,1
544,15705953,Kodilinyechukwu,721,Spain,Male,51,0,169312.13,1,1,0,109078.35,1
558,15634844,Miller,598,Germany,Male,41,3,91536.93,1,1,0,191468.78,1
572,15730076,Osborne,651,France,Male,45,1,0.0,1,1,0,67740.08,1
587,15722010,Zuyev,621,Spain,Male,53,9,170491.84,1,1,0,35588.07,1
604,15592387,Burke,566,France,Male,30,5,0.0,1,1,0,54926.51,1
635,15738181,Douglas,850,France,Male,31,6,67996.23,2,0,0,50129.87,1
641,15784844,K'ung,752,Spain,Male,48,5,116060.08,1,1,0,156618.38,1
686,15600337,Dobie,661,Spain,Male,42,2,178820.91,1,0,0,29358.57,1
706,15580148,Welch,750,Germany,Male,40,5,168286.81,3,1,0,20451.99,1
734,15744607,Martin,738,Germany,Male,43,9,121152.05,2,1,0,64166.7,1
768,15677921,Bobrov,720,Germany,Male,60,9,115920.62,2,0,0,157552.08,1
775,15789158,Nikitina,636,Germany,Male,49,6,113599.74,2,1,0,158887.09,1
778,15628936,Archer,692,Spain,Male,28,9,118945.09,1,0,0,16064.25,1
841,15707567,Esposito,732,Germany,Male,50,6,145338.76,1,0,0,91936.1,1
860,15809087,Landry,598,France,Male,64,1,0.0,2,1,0,195635.3,1
861,15807663,McGregor,667,France,Male,43,8,190227.46,1,1,0,97508.04,1
869,15646810,Quinn,603,Germany,Male,44,6,108122.39,2,1,0,108488.33,1
901,15642041,Burns,727,Germany,Male,40,1,93051.64,2,1,0,71865.31,1
905,15794580,Ch'en,599,France,Male,58,4,0.0,1,0,0,176407.15,1
922,15743411,Chiawuotu,609,Spain,Male,61,1,0.0,1,1,0,22447.85,1
923,15753337,Yeates,555,France,Male,51,5,0.0,3,1,0,189122.89,1
964,15731815,Nepean,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1
988,15613749,Lees,569,Spain,Male,34,0,151839.26,1,1,0,102299.81,1
1006,15701602,Ayers,521,Germany,Male,52,5,116497.31,3,0,0,53793.1,1
1009,15569050,Farrell,444,France,Male,45,6,0.0,1,1,0,130009.85,1
1011,15799811,Herrera,724,France,Male,40,10,0.0,1,1,0,127847.25,1
1021,15654673,Onyinyechukwuka,625,France,Male,49,6,173434.9,1,1,0,165580.93,1
1050,15705860,McKenzie,631,Germany,Male,40,3,107949.45,1,1,0,52449.62,1
1063,15631189,Riggs,613,Germany,Male,38,9,67111.65,1,1,0,78566.64,1
1066,15692744,Davison,512,France,Male,36,4,152169.12,2,0,0,38629.3,1
1069,15680303,Gibson,594,France,Male,57,6,0.0,1,1,0,19376.56,1
1070,15628674,Iadanza,844,France,Male,40,7,113348.14,1,1,0,31904.31,1
1083,15663438,Andrejew,688,Spain,Male,36,0,89772.3,1,1,0,177383.68,1
1086,15646513,Spyer,803,France,Male,42,5,0.0,1,1,0,196466.83,1
1087,15708063,Walker,712,France,Male,36,2,100749.5,3,0,0,70758.37,1
1096,15689081,Wu,692,France,Male,29,4,0.0,1,1,0,76755.99,1
