RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0
134,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0
142,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0
150,15794413,Harris,416,France,Male,32,0,0.0,2,0,1,878.87,0
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0
175,15625524,Rowe,512,France,Male,40,5,0.0,2,1,1,146457.83,0
182,15789669,Hsia,510,France,Male,65,2,0.0,2,1,1,48071.61,0
184,15810845,T'ang,636,France,Male,42,2,0.0,2,1,1,55470.78,0
189,15726676,Marshall,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0
199,15656176,Jenkins,501,France,Male,57,10,0.0,2,1,1,47847.19,0
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0
202,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0
206,15773039,Ku,550,France,Male,37,3,0.0,1,1,1,179670.31,0
208,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0
210,15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0
212,15624592,Tan,603,France,Male,31,8,0.0,2,1,1,169915.02,0
222,15787155,Yang,514,Spain,Male,30,7,0.0,1,0,1,125010.24,0
223,15727829,McIntyre,567,France,Male,42,2,0.0,2,1,1,167984.61,0
231,15808473,Ringrose,673,France,Male,72,1,0.0,2,0,1,111981.19,0
234,15723886,Fiore,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0
240,15795149,Stevens,703,France,Male,28,2,81173.83,2,0,1,162812.16,0
243,15813844,Barnes,703,France,Male,37,8,105961.68,2,0,1,74158.8,0
249,15657566,Wieck,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0
254,15694717,Ku,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0
256,15765297,Yao,766,Spain,Male,41,0,0.0,2,0,1,34283.23,0
257,15636684,Kirkland,727,France,Male,34,10,0.0,2,1,1,198637.34,0
260,15607178,Welch,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0
261,15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0
265,15700696,Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0
267,15653857,Wallis,498,France,Male,34,2,0.0,2,1,1,148528.24,0
271,15787071,Dulhunty,650,Spain,Male,41,9,0.0,2,0,1,191599.67,0
275,15800116,Bowman,712,Germany,Male,28,4,145605.44,1,0,1,93883.53,0
279,15683562,Allen,646,France,Male,35,6,84026.86,1,0,1,164255.69,0
281,15668893,Wilsmore,782,France,Male,39,8,0.0,2,1,1,33949.67,0
282,15669169,Hargreaves,775,Spain,Male,29,10,0.0,2,1,1,68143.93,0
284,15699389,Ch'ien,807,France,Male,42,7,118274.71,1,1,1,25885.72,0
291,15652266,Chidiebele,703,Germany,Male,42,9,63227.0,1,0,1,137316.32,0
295,15785819,Shao,681,France,Male,38,3,0.0,2,1,1,112491.96,0
299,15650068,Johnson,511,France,Male,58,0,149117.31,1,1,1,162599.51,0
300,15811490,French,627,France,Male,33,5,0.0,2,1,1,103737.82,0
306,15636673,Onwuatuegwu,667,France,Male,31,1,119266.69,1,1,1,28257.63,0
315,15631868,Robertson,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,0
318,15666252,Ritchie,706,Spain,Male,42,9,0.0,2,1,1,28714.34,0
329,15669064,Mazzanti,671,Germany,Male,35,1,144848.74,1,1,1,179012.3,0
330,15624528,L?,664,Germany,Male,26,7,116244.14,2,1,1,95145.14,0
331,15598493,Beach,656,France,Male,50,7,0.0,2,0,1,72143.44,0
333,15702669,Faulkner,663,Germany,Male,44,2,117028.6,2,0,1,144680.18,0
348,15747358,Russell,643,Germany,Male,59,3,170331.37,1,1,1,32171.79,0
350,15576256,Yusupova,582,France,Male,39,5,0.0,2,1,1,129892.93,0
351,15659420,Foley,659,Spain,Male,32,3,107594.11,2,1,1,102416.84,0
352,15593365,Shih,762,Spain,Male,39,2,81273.13,1,1,1,18719.67,0
354,15812007,Power,670,Spain,Male,25,6,0.0,2,1,1,78358.94,0
359,15633950,Yen,737,France,Male,41,1,101960.74,1,1,1,123547.28,0
360,15592386,Campbell,520,France,Male,58,3,0.0,2,0,1,32790.02,0
361,15803716,West,706,Spain,Male,28,3,0.0,2,0,1,181543.67,0
365,15676715,Madukaego,640,France,Male,68,9,0.0,2,1,1,199493.38,0
369,15684042,Blair,636,Germany,Male,34,2,40105.51,2,0,1,53512.16,0
371,15611579,Sutherland,801,Spain,Male,42,4,141947.67,1,1,1,10598.29,0
373,15694506,Briggs,611,Germany,Male,31,0,107884.81,2,1,1,183487.98,0
374,15688074,Gregory,802,Germany,Male,31,1,125013.72,1,1,1,187658.09,0
375,15759537,Bianchi,717,Germany,Male,35,7,58469.37,2,1,1,172459.39,0
388,15776433,Greco,730,Spain,Male,62,2,0.0,2,1,1,186489.95,0
392,15785611,Onyeoruru,752,Germany,Male,38,3,183102.29,1,1,1,71557.12,0
397,15584766,Knight,557,France,Male,33,3,54503.55,1,1,1,371.05,0
403,15781589,Carpenter,751,Spain,Male,52,8,0.0,2,0,1,179291.85,0
404,15732674,Fennell,443,Spain,Male,36,6,70438.01,2,0,1,56937.43,0
405,15642291,Fontaine,685,France,Male,23,8,0.0,2,1,1,112239.03,0
409,15701376,K'ung,668,Germany,Male,37,10,152958.29,2,1,1,159585.61,0
412,15760431,Pino,850,France,Male,38,1,0.0,2,1,1,80006.65,0
428,15806964,Utz,702,France,Male,45,0,80793.58,1,1,1,27474.81,0
432,15743040,Kuznetsova,724,Germany,Male,41,2,127892.57,2,0,1,199645.45,0
444,15732628,Ugoji,745,France,Male,46,2,122220.19,1,1,1,118024.1,0
448,15644572,Turnbull,501,France,Male,40,4,125832.2,1,1,1,100433.83,0
452,15785798,Uchechukwu,850,France,Male,40,9,0.0,2,0,1,119232.33,0
457,15747960,Eluemuno,733,France,Male,33,3,0.0,1,1,1,7666.73,0
460,15662976,Lettiere,637,Spain,Male,37,8,0.0,1,1,1,186062.36,0
461,15732778,Templeman,468,Germany,Male,29,1,111681.98,2,1,1,195711.16,0
465,15613786,Ogbonnaya,818,Spain,Male,26,4,0.0,2,1,1,167036.94,0
470,15749167,Fisk,753,France,Male,35,3,0.0,2,1,1,184843.77,0
471,15759298,Shih,631,Spain,Male,27,10,134169.62,1,1,1,176730.02,0
479,15677538,Nwokike,569,France,Male,38,7,0.0,1,1,1,108469.2,0
480,15797736,Smith,658,France,Male,29,4,80262.6,1,1,1,20612.82,0
481,15695585,Atkins,788,Spain,Male,34,6,156478.62,1,0,1,181196.76,0
489,15731744,Carslaw,692,France,Male,30,2,0.0,2,0,1,130486.57,0
491,15714689,Houghton,591,Spain,Male,29,1,97541.24,1,1,1,196356.17,0
496,15804256,Hale,765,Germany,Male,36,8,92310.54,2,1,1,72924.56,0
498,15733616,Sopuluchukwu,806,France,Male,40,5,80613.93,1,1,1,142838.64,0
499,15591995,Barry,757,Germany,Male,26,8,121581.56,2,1,1,127059.04,0
501,15727688,Chizuoke,555,Spain,Male,32,4,0.0,2,1,1,54405.79,0
502,15715941,Lueck,692,France,Male,54,5,0.0,2,1,1,88721.84,0
504,15730059,Udobata,638,Spain,Male,44,9,77637.35,2,1,1,111346.22,0
509,15773890,Okechukwu,733,France,Male,22,5,0.0,2,1,1,117202.19,0
514,15593601,Isayev,734,France,Male,34,6,133598.4,1,1,1,13107.24,0
520,15745417,Knipe,707,France,Male,58,6,89685.92,1,0,1,126471.13,0
522,15653547,Madukwe,850,France,Male,56,7,131317.48,1,1,1,119175.45,0
523,15595766,Watts,527,Spain,Male,37,5,93722.73,2,1,1,139093.73,0
524,15742358,Humphreys,696,Germany,Male,32,8,101160.99,1,1,1,115916.55,0
527,15600258,Chesnokova,701,France,Male,43,2,0.0,2,1,1,165303.79,0
530,15694272,Nkemakolam,673,France,Male,30,1,64097.75,1,1,1,77783.35,0
