RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0
100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0
153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0
162,15641122,Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0
