RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1
72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0
100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0
134,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0
142,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0
150,15794413,Harris,416,France,Male,32,0,0.0,2,0,1,878.87,0
153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0
156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1
162,15641122,Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0
175,15625524,Rowe,512,France,Male,40,5,0.0,2,1,1,146457.83,0
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0
182,15789669,Hsia,510,France,Male,65,2,0.0,2,1,1,48071.61,0
184,15810845,T'ang,636,France,Male,42,2,0.0,2,1,1,55470.78,0
186,15654506,Chang,514,France,Male,32,8,0.0,2,1,0,95857.18,0
189,15726676,Marshall,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0
193,15756850,Golovanov,479,France,Male,40,1,0.0,2,0,0,114996.43,0
194,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0
199,15656176,Jenkins,501,France,Male,57,10,0.0,2,1,1,47847.19,0
200,15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0
202,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0
203,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1
