RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1
156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
169,15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1
203,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
269,15717398,Fielding,549,Spain,Female,39,7,0.0,1,0,0,81259.25,1
294,15590241,Chuang,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1
298,15684173,Chang,687,Spain,Female,44,7,0.0,3,1,0,155853.52,1
339,15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1
358,15661629,Ricci,522,Spain,Male,34,9,126436.29,1,1,0,174248.52,1
380,15629677,Distefano,687,Spain,Female,39,2,0.0,3,0,0,188150.6,1
393,15573456,Cunningham,648,Spain,Male,46,9,127209.0,2,1,0,77405.95,1
394,15684548,Demidov,556,Spain,Male,38,8,0.0,2,0,0,417.41,1
407,15578045,Mitchell,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1
445,15787470,Parkinson,553,Spain,Male,47,3,116528.15,1,0,0,145704.19,1
485,15676519,George,615,Spain,Male,61,9,0.0,2,1,0,150227.85,1
544,15705953,Kodilinyechukwu,721,Spain,Male,51,0,169312.13,1,1,0,109078.35,1
556,15775318,Lu,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1
567,15651674,Billson,438,Spain,Female,54,2,0.0,1,0,0,191763.07,1
574,15607312,Ch'ang,648,Spain,Female,49,10,0.0,2,1,1,159835.78,1
582,15737741,McKay,607,Spain,Female,33,2,108431.87,2,0,1,109291.39,1
587,15722010,Zuyev,621,Spain,Male,53,9,170491.84,1,1,0,35588.07,1
590,15591047,Ma,519,Spain,Female,47,6,157296.02,2,0,0,147278.43,1
616,15745295,Gether,727,Spain,Female,31,0,0.0,1,1,0,121751.04,1
641,15784844,K'ung,752,Spain,Male,48,5,116060.08,1,1,0,156618.38,1
686,15600337,Dobie,661,Spain,Male,42,2,178820.91,1,0,0,29358.57,1
697,15727299,Edgar,445,Spain,Male,62,1,64119.38,1,1,1,76569.64,1
715,15807609,Yuan,650,Spain,Female,25,3,86605.5,3,1,0,16649.31,1
721,15721658,Fleming,672,Spain,Female,56,2,209767.31,2,1,1,150694.42,1
722,15578761,Cunningham,459,Spain,Female,42,6,129634.25,2,1,1,177683.02,1
