RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0
153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0
158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
164,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
188,15708710,Ford,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0
189,15726676,Marshall,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0
197,15635905,Moran,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0
205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0
218,15786308,Millar,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0
222,15787155,Yang,514,Spain,Male,30,7,0.0,1,0,1,125010.24,0
241,15812009,Grant,662,Spain,Male,38,4,0.0,2,1,0,136259.65,0
245,15576269,Madison,523,Spain,Male,34,7,0.0,2,1,0,62030.06,0
252,15753754,Morrison,587,Spain,Female,34,1,0.0,2,1,1,97932.68,0
255,15665834,Cheatham,696,Spain,Male,28,8,0.0,1,0,0,176713.47,0
